Name,pred,answer
4fd5c03f-fd20-536d-8c42-ac4eb14693b2,4,5
3a856226-5fd6-5668-a0fa-d639eb1506cf,4,4
2d2aa393-b0a9-52c5-9987-1634f134665d,0,0
1ed4f169-17e4-5101-8ce3-2ebc48169d11,0,0
4f28eeb9-d4f4-55be-a19f-0f491740ab96,2,7
3e860d2b-1c83-52ef-8073-c2224b5851e4,6,6
2f4d8894-cdd3-517d-901e-397e70729414,2,2
4e4b1578-1530-5c6d-8961-916b67cb3da5,0,4
1e212750-3338-52e4-b465-1590f4509363,0,0
1f8b2681-8c8f-544a-8f25-6db8bafa7730,0,7
1fc76783-c528-5c35-8b76-e010a051bbbe,7,7
03abf1cb-7f2f-5373-8ddf-8cce3857897e,2,2
1de6125c-468e-5254-bb00-851d6eb88ca1,0,0
0c65ad48-384c-5568-837f-b2af607816d3,6,6
5ae49fa9-d944-56af-b9d4-abcbbbca1b31,0,7
1c28dd05-b88b-5b85-91a6-a3c415f07902,7,2
3c6997d8-a66f-5f9e-94f8-95c2928eb85a,1,1
1ead3d1d-d5e0-5865-a6eb-d0d56b5bba68,2,7
0fd1ad96-abcc-5f5d-8c32-ff0c574e325e,6,6
2dc0b687-3e89-56bb-9d6a-cac56b4f080b,1,1
4cc52a37-21a6-5e3d-8790-399bf082f567,1,1
1c2d5ef6-9910-506d-b339-1855f7977f77,3,3
1b4d091f-c04c-5e2c-8176-465d151816ea,4,4
4ca01af9-d739-58db-8323-7cab6f6f9d1c,6,0
1a2ffdf7-fb88-5191-88e8-0b618ea84de3,4,4
3c840831-dc20-593c-bab7-de9feb7b8547,2,3
0de49bfa-ae72-5ad7-9b07-249e87666f46,7,7
3e667130-d75d-5bbb-b411-54c21e94f086,0,0
0c817abe-5de4-5cd5-a533-0fb4e3f46348,7,7
3cef853f-5b7f-591e-b143-6571f661c1c7,7,7
3cd9319a-243e-5f3e-9565-073dd4733816,0,4
2e06f5ec-d25e-54c0-8502-3eb6d1630bb2,6,6
2b74540a-b25b-5883-9299-2a4474f86a8b,7,5
3e537089-479f-5a21-991f-c7beb52c7b0b,4,6
0ee46965-664d-5763-9b93-110e4f3c9c17,3,4
3edb22fd-f352-5b9f-873a-2b4d3025a9ff,7,7
0bec4000-c072-54d1-9aea-6f8b189c1781,4,5
0c87ffd8-7ca6-5afb-a108-bcd0fba236a8,3,3
1e92cce1-2873-5086-b0ae-bc7567b55134,5,4
1e0fc443-3173-5e51-afa7-b720cd2f66a6,1,7
05e7d5da-3883-5ab8-b0e1-d8dcc6c364cd,6,4
0d242baa-ea33-5b64-8af9-c3caa904c8ef,6,5
2ccaa66c-0bfa-5025-abfb-7b4bd9a1e378,0,0
1b790974-133e-56ba-b51c-e99621046333,5,5
1a0642ba-3190-536d-808e-432da57dcf98,3,3
0d2d3c5f-d702-5b09-922b-9219fbad8da6,6,6
4dabd913-1fc2-5670-a8f7-cc501128933e,4,3
3dd590f1-9ca1-5fb9-bffe-6a19c0fd14b2,7,6
0f453786-1ea8-5fb7-b000-8a8040f50e95,7,7
3e91f8df-0f1c-5405-ac03-192f102a682e,1,1
